Date,Close/Last,Volume,Open,High,Low
04/22/2022,2554,N/A,2554,2554,2554
04/21/2022,2592,N/A,2592,2592,2592
04/20/2022,2593,N/A,2593,2593,2593
04/19/2022,2580,N/A,2580,2580,2580
04/18/2022,2578,N/A,2578,2578,2578
04/14/2022,2679,N/A,2679,2679,2679
04/13/2022,2679,N/A,2679,2679,2679
04/12/2022,2583,N/A,2583,2583,2583
04/11/2022,2616,N/A,2616,2616,2616
04/08/2022,2620,N/A,2620,2620,2620
04/07/2022,2574,N/A,2574,2574,2574
04/06/2022,2549,N/A,2549,2549,2549
04/05/2022,2534,N/A,2534,2534,2534
04/04/2022,2562,N/A,2562,2562,2562
04/01/2022,2599,N/A,2599,2599,2599
03/31/2022,2650,N/A,2650,2650,2650
03/30/2022,2651,N/A,2651,2651,2651
03/29/2022,2639,N/A,2639,2639,2639
03/28/2022,2602,N/A,2602,2602,2602
03/25/2022,2562,N/A,2562,2562,2562
03/24/2022,2583,N/A,2583,2583,2583
03/23/2022,2631,N/A,2631,2631,2631
03/22/2022,2586,N/A,2586,2586,2586
03/21/2022,2521,N/A,2521,2521,2521
03/18/2022,2537,N/A,2537,2537,2537
03/17/2022,2504,N/A,2504,2504,2504
03/16/2022,2532,N/A,2532,2532,2532
03/15/2022,2522,N/A,2522,2522,2522
03/14/2022,2611,N/A,2611,2611,2611
03/11/2022,2620,N/A,2620,2620,2620
03/10/2022,2683,N/A,2683,2683,2683
03/09/2022,2663,N/A,2663,2663,2663
03/08/2022,2679,N/A,2679,2679,2679
03/07/2022,2636,N/A,2636,2636,2636
03/04/2022,2620,N/A,2620,2620,2620
03/03/2022,2562,N/A,2562,2562,2562
03/02/2022,2529,N/A,2529,2529,2529
03/01/2022,2521,N/A,2521,2521,2521
02/28/2022,2529,N/A,2529,2529,2529
02/25/2022,2614,N/A,2614,2614,2614
02/24/2022,2616,N/A,2616,2616,2616
02/23/2022,2664,N/A,2664,2664,2664
02/22/2022,2656,N/A,2656,2656,2656
02/18/2022,2640,N/A,2640,2640,2640
02/17/2022,2655,N/A,2655,2655,2655
02/16/2022,2671,N/A,2671,2671,2671
02/15/2022,2722,N/A,2722,2722,2722
02/14/2022,2731,N/A,2731,2731,2731
02/11/2022,2766,N/A,2766,2766,2766
02/10/2022,2786,N/A,2786,2786,2786
02/09/2022,2756,N/A,2756,2756,2756
02/08/2022,2669,N/A,2669,2669,2669
02/07/2022,2624,N/A,2624,2624,2624
02/04/2022,2668,N/A,2668,2668,2668
02/03/2022,2634,N/A,2634,2634,2634
02/02/2022,2617,N/A,2617,2617,2617
02/01/2022,2613,N/A,2613,2613,2613
01/31/2022,2528,N/A,2528,2528,2528
01/28/2022,2494,N/A,2494,2494,2494
01/27/2022,2451,N/A,2451,2451,2451
01/26/2022,2513,N/A,2513,2513,2513
01/25/2022,2503,N/A,2503,2503,2503
01/24/2022,2493,N/A,2493,2493,2493
01/21/2022,2576,N/A,2576,2576,2576
01/20/2022,2660,N/A,2660,2660,2660
01/19/2022,2657,N/A,2657,2657,2657
01/18/2022,2631,N/A,2631,2631,2631
01/14/2022,2659,N/A,2659,2659,2659
01/13/2022,2609,N/A,2609,2609,2609
01/12/2022,2559,N/A,2559,2559,2559
01/11/2022,2588,N/A,2588,2588,2588
01/10/2022,2685,N/A,2685,2685,2685
01/07/2022,2521,N/A,2521,2521,2521
01/06/2022,2423,N/A,2423,2423,2423
01/05/2022,2457,N/A,2457,2457,2457
01/04/2022,2462,N/A,2462,2462,2462
01/03/2022,2499,N/A,2499,2499,2499
12/31/2021,2520,N/A,2520,2520,2520
12/30/2021,2559,N/A,2559,2559,2559
12/29/2021,2515,N/A,2515,2515,2515
12/28/2021,2485,N/A,2485,2485,2485
12/27/2021,2461,N/A,2461,2461,2461
12/23/2021,2473,N/A,2473,2473,2473
12/22/2021,2466,N/A,2466,2466,2466
12/21/2021,2460,N/A,2460,2460,2460
12/20/2021,2423,N/A,2423,2423,2423
12/17/2021,2497,N/A,2497,2497,2497
12/16/2021,2685,N/A,2685,2685,2685
12/15/2021,2547,N/A,2547,2547,2547
12/14/2021,2504,N/A,2504,2504,2504
12/13/2021,2532,N/A,2532,2532,2532
12/10/2021,2466,N/A,2466,2466,2466
12/09/2021,2451,N/A,2451,2451,2451
12/08/2021,2470,N/A,2470,2470,2470
12/07/2021,2485,N/A,2485,2485,2485
12/06/2021,2460,N/A,2460,2460,2460
12/03/2021,2467,N/A,2467,2467,2467
12/02/2021,2453,N/A,2453,2453,2453
12/01/2021,2352,N/A,2352,2352,2352
11/30/2021,2346,N/A,2346,2346,2346
11/29/2021,2378,N/A,2378,2378,2378
11/26/2021,2396,N/A,2396,2396,2396
11/24/2021,2512,N/A,2512,2512,2512
11/23/2021,2568,N/A,2568,2568,2568
11/22/2021,2588,N/A,2588,2588,2588
11/19/2021,2583,N/A,2583,2583,2583
