,lost
0,1.27
1,0.196
2,9.366
3,4.503
4,2.472
5,1.492
6,1.146
7,3.583
8,3.934
9,4.385
10,6.497
11,3.321
12,0.9990000000000001
13,1.8929999999999998
14,4.111
15,1.539
16,5.705
17,3.288
18,0.8
19,0.759
20,1.527
21,2.743
22,8.214
23,4.322
24,3.253
25,1.637
26,0.386
27,8.473
28,3.435
29,4.421
30,1.007
31,1.011
32,0.285
33,2.49
34,4.829
35,4.924
36,16.393
37,10.192
38,4.409
39,3.042
40,2.458
41,0.715
42,0.615
43,3.848
44,13.654
45,4.327
46,6.744999999999999
47,1.542
48,2.561
49,1.438
50,10.821
51,0.645
52,0.488
53,2.061
54,1.481
55,9.74
56,1.223
57,23.822
58,3.785
59,1.6629999999999998
60,1.981
61,2.148
62,3.2199999999999998
63,2.762
64,5.03
65,0.29
66,2.243
67,2.219
68,1.021
69,0.275
70,3.9060000000000006
71,5.511
72,6.132
73,3.3530000000000006
74,0.8909999999999999
75,4.547
76,1.166
77,0.759
78,0.664
79,1.8159999999999998
80,3.292
81,4.748
82,4.15
83,7.248
84,1.464
85,1.061
86,4.118
87,1.5789999999999997
88,6.38
89,6.241
90,4.021
91,4.186
92,5.958
93,1.257
94,1.264
95,6.719
96,0.831
97,3.58
98,0.105
99,7.709
100,0.43499999999999994
101,5.785
102,0.893
103,2.026
104,0.315
105,8.912
106,5.71
107,1.059
108,3.8699999999999997
109,1.907
110,0.637
111,3.6510000000000002
112,4.933
113,3.756
114,1.9849999999999999
115,0.832
116,4.447
117,6.621
118,5.212
119,5.218
120,5.222
121,1.894
122,7.699
123,2.752
124,3.8060000000000005
125,0.826
126,0.31
127,2.084
128,8.791
129,1.36
130,4.365
131,1.392
132,7.551000000000001
133,4.722
134,0.107
135,0.20499999999999996
136,2.173
137,1.213
138,2.099
139,1.959
140,1.974
141,1.9900000000000002
142,1.143
143,0.573
144,3.3869999999999996
145,5.429
146,5.445
147,0.911
148,4.848
149,5.481
150,1.805
151,9.373
152,0.391
153,5.474
154,0.49899999999999994
155,5.145
156,1.593
157,2.108
158,0.604
159,3.718
160,6.2829999999999995
161,2.722
162,0.101
163,0.101
164,1.8290000000000002
165,6.183
166,0.582
167,9.047
168,3.5479999999999996
169,2.187
170,4.927
171,2.403
172,5.399
173,1.78
174,0.285
175,1.242
176,1.388
177,2.929
178,3.81
179,4.444
180,8.302
181,6.308
182,8.486
183,7.458999999999999
184,2.692
185,1.508
186,6.157
187,2.289
188,3.9859999999999998
189,3.685
190,1.83
191,0.509
192,4.88
193,4.761
194,6.831000000000001
195,1.936
196,1.058
197,1.243
198,2.158
199,1.551
200,0.097
201,1.864
202,1.856
203,2.366
204,3.9740000000000006
205,13.605999999999998
206,0.791
207,1.093
208,0.69
209,1.418
210,1.139
211,2.978
212,8.337
213,6.412
214,2.869
215,5.23
216,0.9450000000000001
217,1.546
218,2.498
219,0.8130000000000001
220,2.153
221,3.614
222,2.946
223,3.293
224,7.245
225,6.02
226,0.323
227,5.5
228,0.551
229,7.025
230,2.518
231,3.3579999999999997
232,6.883
233,3.069
234,3.85
235,1.29
236,5.88
237,1.162
238,8.742
239,1.7610000000000001
240,2.22
241,2.014
242,4.52
243,0.535
244,3.627
245,7.414999999999999
246,1.576
247,0.21
